Last Report Year,5 Digit NTDID,4 Digit NTDID,Agency Name,Agency Status,Reporter Type,City,State,Census Year,Primary UZA Name,UZA,UZA Area SQ Miles,UZA Population,2016 Status,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,
2016,00018,0018,Ben Franklin Transit(BFT),Active,Full Reporter,Richland,WA,2010,"Kennewick-Pasco, WA",171,102,"210,975",Existing 2016,"$9,836,400","$11,997,210","$11,983,456","$10,141,443","$14,383,460","$14,543,862","$14,060,657","$14,814,850","$15,635,286","$14,162,699","$16,006,191","$14,819,681","$25,206,254",$0,"$29,222,570","$29,761,000","$29,865,335","$35,639,862","$35,427,093","$34,466,680","$28,624,529","$28,962,327","$32,253,507","$38,566,471","$38,637,452","$33,637,421",,,,
2016,00019,0019,Intercity Transit(I.T.),Active,Full Reporter,Olympia,WA,2010,"Olympia-Lacey, WA",195,106,"176,617",Existing 2016,"$11,270,615","$12,683,671","$17,520,366","$19,288,157","$17,589,987","$17,402,763","$16,354,884","$19,024,324","$16,859,083","$13,363,681","$14,585,034","$13,929,010","$15,333,216","$20,544,934","$28,641,008","$25,606,560","$34,576,537","$29,849,782","$31,979,912","$34,901,954","$34,775,529","$44,655,956","$35,999,400","$42,701,681","$35,921,025","$37,619,308",,,,
2016,00020,0020,Kitsap Transit,Active,Full Reporter,Bremerton,WA,2010,"Bremerton, WA",180,136,"198,979",Existing 2016,"$11,868,616","$11,542,650","$14,135,611","$15,915,400","$22,060,885","$18,347,922","$20,304,705","$23,113,083","$42,583,288","$28,155,670","$23,180,143","$27,242,035","$39,732,458","$42,222,810","$39,066,103","$34,555,192","$38,391,905","$40,614,600","$46,933,496","$35,208,645","$36,653,297","$35,404,393","$34,118,906","$36,977,125","$43,249,036","$54,146,835",,,,
2016,00021,0021,Whatcom Transportation Authority(WTA),Active,Full Reporter,Bellingham,WA,2010,"Bellingham, WA",275,48,"114,473",Existing 2016,"$9,781,491","$10,166,844","$7,273,866","$13,256,480","$13,661,283","$11,084,145","$11,112,177","$16,490,503","$13,490,901","$13,660,671","$19,029,555","$14,028,949","$16,715,448","$16,320,977","$16,530,663","$17,945,012","$28,734,740","$23,494,496","$34,920,183","$26,433,896","$25,277,531","$23,883,971","$28,831,193","$27,780,510","$26,761,437","$32,246,088",,,,
2016,00022,0022,City of Pocatello - Pocatello Regional Transit(PRT),Active,Reduced Reporter,Pocatello,ID,2010,"Pocatello, ID",395,31,"69,809",Existing 2016,"$538,037","$595,712","$597,825","$648,675","$762,451","$681,395","$715,437","$943,255","$1,847,313","$1,086,978","$1,243,997","$1,305,826","$1,271,351","$1,343,290","$1,481,898","$1,289,476","$2,898,849","$3,163,684","$2,333,552","$4,626,225","$2,733,325","$2,522,369","$3,035,029","$7,680,043","$3,001,229","$2,843,875",,,,
2016,00023,0023,City of Seattle - Seattle Center Monorail Transit(SMS),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2016,"$1,988,704","$1,662,029","$1,617,633","$1,701,074","$1,563,684","$1,542,695","$1,843,498","$1,971,854","$2,143,959","$2,252,944","$2,366,890","$3,215,844","$2,084,435","$1,485,247","$1,711,859","$922,558","$3,465,208","$2,273,249","$4,544,906","$3,188,654","$3,450,186","$3,973,036","$3,885,844","$3,436,975","$4,944,263","$4,537,712",,,,
2016,00024,0024,Clark County Public Transportation Benefit Area Authority(C-Tran),Active,Full Reporter,Vancouver,WA,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2016,"$18,864,538","$17,925,464","$11,958,745","$13,123,849","$24,076,466","$25,786,713","$27,689,060","$25,717,634","$34,099,518","$27,112,620","$27,272,840","$26,215,466","$38,787,582","$31,418,048","$28,462,046","$33,498,597","$44,268,925","$53,125,700","$43,309,634","$43,715,838","$39,749,192","$41,869,644","$42,709,994","$53,003,357","$57,250,560","$111,711,915",,,,
2016,00025,0025,Salem Area Mass Transit District(Cherriots),Active,Full Reporter,Salem,OR,2010,"Salem, OR",156,76,"236,632",Existing 2016,"$6,238,600","$6,726,795","$5,990,196","$6,856,322","$7,196,052","$6,563,537","$10,989,263","$9,385,703","$11,628,590","$12,024,970","$14,551,085","$14,924,859","$20,734,881","$21,810,362","$21,332,530","$26,560,321","$27,696,764","$34,121,175","$31,964,404","$31,292,644","$37,691,294","$33,237,459","$37,874,401","$39,939,471","$38,985,196","$39,913,391",,,,
2016,00028,0028,Pierce County Ferry Operations(Pierce County Ferry),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2016,"$765,516","$1,505,001","$3,854,357","$3,674,679","$1,230,600","$1,170,539","$7,429,137","$2,357,247","$1,219,529","$1,730,212","$1,644,528","$2,552,097","$1,723,892","$3,937,669","$4,939,383","$12,982,410","$2,975,902","$4,740,516","$4,157,428","$5,003,196","$3,622,498","$5,415,503","$3,210,979","$4,934,706","$7,006,843","$5,377,462",,,,
2016,00029,0029,Snohomish County Public Transportation Benefit Area Corporation(Community Transit),Active,Full Reporter,Everett,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2016,"$44,752,606","$43,918,052","$29,679,767","$33,210,693","$43,636,794","$39,061,164","$47,644,088","$61,653,233","$56,025,244","$60,680,119","$56,529,528","$59,050,896","$88,051,707","$80,235,246","$106,287,005","$94,583,353","$120,218,571","$137,552,315","$143,716,245","$133,909,591","$130,662,726","$105,118,264","$115,208,989","$113,188,155","$147,591,083","$146,772,409",,,,
2016,00034,0034,Rogue Valley Transportation District(RVTD),Active,Full Reporter,Medford,OR,2010,"Medford, OR",213,65,"154,081",Existing 2016,"$2,622,411","$1,951,737","$2,590,644","$3,100,369","$4,516,523","$2,818,140","$2,888,968","$4,089,509","$3,969,486","$3,485,745","$4,848,712","$5,611,877","$4,551,192","$6,607,361","$9,528,501","$7,747,949","$6,482,845","$5,893,339","$6,297,674","$8,884,604","$8,686,734","$8,217,374","$10,152,947","$10,588,890","$10,608,954","$8,618,254",,,,
2016,00035,0035,Washington State Ferries(WSF),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2016,"$195,685,472","$152,530,272","$166,166,341","$196,656,767","$183,087,650","$201,542,272","$250,444,761","$224,950,704","$255,996,022","$249,357,572","$196,743,765","$238,666,472","$243,684,322","$229,098,172","$278,669,107","$279,248,864","$302,814,155","$298,464,097","$312,506,249","$339,909,292","$382,829,457","$315,501,090","$380,531,684","$371,639,373","$359,849,101","$420,157,259",,,,
1998,00038,0038,"Community and Rural Transportation, Inc.",Inactive,Full Reporter,Idaho Falls,ID,1990,"Idaho Falls, ID",362,21,"56,356",Pre 2016,$0,$0,"$576,564","$400,289","$648,392","$585,932","$626,117","$686,786",,,,,,,,,,,,,,,,,,,,,,
2016,00040,0040,Central Puget Sound Regional Transit Authority(ST),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,"$242,713,111","$298,667,037","$293,209,927","$391,350,944","$480,298,907","$612,131,278","$714,584,113","$830,891,046","$889,997,016","$718,364,640","$597,147,102","$784,906,821","$834,795,684","$803,557,612","$912,509,327","$1,055,791,386","$1,084,452,671","$1,170,774,718",,,,
2016,00041,0041,Alaska Railroad Corporation(ARRC),Active,Full Reporter,Anchorage,AK,2010,"Anchorage, AK",149,85,"251,243",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$7,568,099","$8,184,093","$9,496,879","$10,369,194","$10,676,752","$10,972,583","$13,236,014","$12,855,309","$10,492,121","$10,340,985","$11,324,508","$149,023,086","$130,242,359","$102,699,295","$92,777,616","$97,309,148",,,,
2016,00042,0042,Targhee Regional Public Transit Authority(TRPTA),Active,Reduced Reporter,Idaho Falls,ID,2010,"Idaho Falls, ID",321,45,"90,733",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$901,861","$691,710","$785,016",$0,$0,$0,"$765,851",$0,$0,"$2,719,978","$2,895,777","$1,993,634","$2,281,980","$1,802,978","$1,192,834","$1,555,059","$1,581,345",,,,
2016,00043,0043,Link Transit,Active,Full Reporter,Wenatchee,WA,2010,"Wenatchee, WA",412,31,"67,227",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$9,033,806","$9,466,228","$8,449,251","$10,470,708","$11,572,967","$10,843,194","$15,591,916","$10,312,220","$10,915,570","$10,818,666","$13,202,913","$12,352,407","$13,535,147",,,,
2016,00044,0044,Skagit Transit,Active,Full Reporter,Burlington,WA,2010,"Mount Vernon, WA",435,34,"62,966",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$4,321,684","$5,768,117","$7,959,051","$7,066,026","$8,894,146","$12,944,341","$10,359,099","$13,540,817","$11,220,715","$12,919,257","$12,703,222","$17,614,933","$13,817,250",,,,
2016,00045,0045,Fairbanks North Star Borough Transit(MACS),Active,Reduced Reporter,Fairbanks,AK,2010,"Fairbanks, AK",425,55,"64,513",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$2,559,802","$3,070,283","$5,399,961","$3,752,681","$6,886,057","$4,001,953","$4,520,896","$5,250,286","$5,431,091","$6,153,272","$7,680,436","$6,846,966","$6,570,124",,,,
2016,00046,0046,South Metro Area Regional Transit(SMART),Active,Reduced Reporter,Wilsonville,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$2,821,578","$2,141,830","$2,519,110","$4,583,457","$2,749,905","$3,543,074","$4,474,423","$5,381,746","$5,288,564","$5,186,027","$6,964,224","$6,905,112","$5,732,541","$6,409,621","$5,617,095",,,,
2016,00047,0047,City of Corvallis(CTS),Active,Full Reporter,Corvallis,OR,2010,"Corvallis, OR",436,21,"62,433",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$2,921,120","$3,331,594","$2,318,532","$2,506,638","$3,324,230","$3,793,834","$3,047,854","$2,911,592",,,,
2016,00048,0048,Lewiston Transit System(LTS),Active,Reduced Reporter,Lewiston,ID,2010,"Lewiston, ID-WA",483,28,"51,924",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$556,046","$620,584","$915,243","$1,585,568","$1,164,623",,,,
2015,00049,0049,"vRide, Inc. - Anchorage",Inactive,Full Reporter,Anchorage,AK,2010,"Anchorage, AK",149,85,"251,243",Pre 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$417,300","$853,842","$827,914","$833,749","$916,936","$1,029,997","$1,141,088","$1,228,068","$1,353,439","$843,984",,,,,
2011,00050,0050,"City of Bend, Bend Area Transit(BAT)",Inactive,Reduced Reporter,Bend,OR,2010,"Bend, OR",344,40,"83,794",Pre 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$3,186,585","$2,706,489","$2,976,285","$2,947,724","$2,208,320",,,,,,,,,
2016,00051,0051,Asotin County PTBA(PTBA),Active,Reduced Reporter,Clarkston,WA,2010,"Lewiston, ID-WA",483,28,"51,924",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$942,136","$1,153,036","$1,431,897","$931,832","$1,054,354",,,,
2012,00052,0052,Metro(Metro),Inactive,Reduced Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Pre 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$416,042","$473,698","$369,325","$366,604",,,,,,,,
2015,00054,0054,King County Ferry District(KCFD),Inactive,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Pre 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$2,440,185","$2,340,548","$6,933,305","$11,032,718","$7,479,761","$15,982,584","$11,606,383",,,,,
2016,00055,0055,Kootenai County(KC),Active,Reduced Reporter,Coeur d'Alene,ID,2010,"Coeur d'Alene, ID",304,47,"98,378",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,954,057","$2,172,182","$2,755,818","$1,466,642","$1,497,092",,,,
2012,00056,0056,Port of Kingston(POK),Inactive,Full Reporter,Kingston,WA,2010,Non-UZA,0,,,Pre 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$616,303",,,,,,,,
2016,00057,0057,Central Oregon Intergovernmental Council(Cascades East Transit),Active,Full Reporter,Bend,OR,2010,"Bend, OR",344,40,"83,794",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$6,606,997","$5,028,296","$4,086,138","$4,852,867","$7,628,591",,,,
2016,00058,0058,City of Portland(PBOT),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$46,902,998","$19,706,484","$23,206,385","$22,626,153","$19,819,653",,,,
2016,00059,0059,Josephine County(JCT),Active,Reduced Reporter,Grants Pass,OR,2010,"Grants Pass, OR",494,27,"50,520",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,578,507","$1,169,859","$1,267,179","$1,571,283","$2,493,849",,,,
2016,00061,0061,City of Albany(ATS),Active,Reduced Reporter,Albany,OR,2010,"Albany, OR",459,24,"56,997",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,269,126","$1,174,966","$1,561,094","$2,134,084","$1,653,225",,,,
2016,00063,0063,City of Milton-Freewater,Active,Reduced Reporter,MiltonFreewater,OR,2010,"Walla Walla, WA-OR",464,28,"55,805",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$190,294","$196,427","$200,969","$231,954","$221,912",,,,
2016,00064,0064,Valley Transit(VT),Active,Reduced Reporter,Walla Walla,WA,2010,"Walla Walla, WA-OR",464,28,"55,805",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$4,154,261","$4,101,283","$4,166,029","$4,758,669","$5,599,188",,,,
2016,00065,0065,Benton County(BCSTF),Active,Reduced Reporter,Corvallis,OR,2010,"Corvallis, OR",436,21,"62,433",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,023,159","$1,155,320","$1,417,745","$1,382,627",,,,
2016,10001,1001,Rhode Island Public Transit Authority(RIPTA),Active,Full Reporter,Providence,RI,2010,"Providence, RI-MA",39,545,"1,190,956",Existing 2016,"$36,061,566","$29,985,760","$38,149,084","$35,488,849","$40,246,526","$36,672,360","$40,618,865","$49,337,052","$62,487,412","$61,836,553","$86,272,724","$81,382,131","$75,470,143","$82,287,952","$83,721,743","$95,295,128","$92,532,794","$100,519,997","$113,609,327","$121,735,355","$156,673,947","$109,646,521","$144,268,833","$115,731,774","$113,022,394","$124,442,876",,,,
2016,10002,1002,Manchester Transit Authority(MTA),Active,Reduced Reporter,Manchester,NH,2010,"Manchester, NH",209,86,"158,377",Existing 2016,"$3,447,390","$2,437,046",$0,"$2,603,069","$1,922,735","$2,623,394","$2,178,495","$2,332,920","$1,897,827","$2,387,791","$2,398,272","$2,347,950","$2,505,772","$2,961,616","$3,583,446","$4,740,480","$3,333,510","$4,288,488","$4,455,608","$4,200,159","$3,822,394","$4,008,873","$3,622,271","$3,864,358","$4,234,892","$3,718,668",,,,
2016,10003,1003,Massachusetts Bay Transportation Authority(MBTA),Active,Full Reporter,Boston,MA,2010,"Boston, MA-NH-RI",10,"1,873","4,181,019",Existing 2016,"$942,855,034","$1,117,109,685","$1,029,343,518","$1,020,788,655","$1,273,467,317","$1,318,098,975","$1,349,474,908","$1,204,265,455","$1,172,520,136","$1,199,247,048","$1,330,999,486","$1,381,166,809","$1,411,343,240","$1,666,341,697","$1,644,704,224","$1,675,006,109","$1,793,052,735","$1,704,862,920","$1,929,943,808","$1,850,233,974","$1,916,049,784","$1,996,102,056","$2,094,548,523","$2,312,856,149","$2,494,907,323","$2,570,272,803",,,,
2016,10004,1004,Brockton Area Transit Authority(BAT),Active,Full Reporter,Brockton,MA,2010,"Boston, MA-NH-RI",10,"1,873","4,181,019",Existing 2016,"$7,406,147","$13,874,605","$9,279,130","$9,378,644","$10,051,221","$13,579,096","$9,972,582","$11,729,736","$12,019,504","$11,193,467","$11,732,952","$11,870,438","$12,835,475","$13,909,281","$12,820,933","$19,000,063","$13,389,887","$15,950,204","$13,549,560","$14,904,982","$17,702,236","$16,770,721","$16,145,204","$19,169,644","$16,134,991","$16,659,138",,,,
2016,10005,1005,Lowell Regional Transit Authority(LRTA),Active,Full Reporter,Lowell,MA,2010,"Boston, MA-NH-RI",10,"1,873","4,181,019",Existing 2016,"$5,100,040","$9,928,277","$10,152,097","$10,628,416","$13,043,378","$11,756,866","$11,090,160","$12,814,185","$15,078,654","$9,741,444","$9,517,136","$15,444,274","$10,891,815","$9,620,484","$11,629,693","$9,686,047","$11,267,952","$11,702,758","$11,889,512","$10,970,190","$12,046,092","$14,113,011","$9,958,489","$14,097,674","$17,426,255","$13,992,418",,,,
2016,10006,1006,Southeastern Regional Transit Authority(SRTA),Active,Full Reporter,New Bedford,MA,2010,"New Bedford, MA",219,55,"149,443",Existing 2016,"$9,283,008","$14,641,579","$8,655,434","$9,757,607",$0,"$15,063,898","$9,401,929","$12,192,965","$10,295,479","$11,355,226","$10,508,703","$11,282,351","$11,013,806","$10,927,200","$13,067,653","$12,226,879","$12,531,281","$15,173,836","$13,430,768","$13,234,897","$20,835,017","$17,466,452","$20,998,069","$19,175,505","$16,330,733","$19,299,353",,,,
2016,10007,1007,Berkshire Regional Transit Authority(BRTA),Active,Full Reporter,Pittsfield,MA,2010,"Pittsfield, MA",448,34,"59,124",Existing 2016,"$1,902,183","$4,926,275","$3,168,773","$3,010,788","$3,066,399","$3,263,048","$3,129,974","$3,311,391","$3,372,403","$3,603,450",$0,"$9,155,838","$6,654,941","$7,799,898","$5,361,148","$5,259,073","$7,358,157","$5,752,204","$6,032,516","$6,003,270","$6,376,455","$7,172,682","$6,875,418","$8,039,094","$7,026,239","$6,789,436",,,,
2016,10008,1008,Pioneer Valley Transit Authority(PVTA),Active,Full Reporter,Springfield,MA,2010,"Springfield, MA-CT",65,349,"621,300",Existing 2016,"$6,532,651","$18,947,811","$29,474,592","$19,902,308","$22,692,425","$39,103,238","$24,041,665","$29,245,362","$37,236,997","$33,440,382","$37,735,715","$44,070,682","$38,470,199","$33,916,995","$34,788,035","$43,439,218","$40,547,409","$45,792,630","$48,619,353","$47,627,333","$56,166,723","$61,528,403","$48,949,346","$51,268,718","$60,053,846","$66,527,027",,,,
2016,10013,1013,Merrimack Valley Regional Transit Authority(MVRTA),Active,Full Reporter,Haverhill,MA,2010,"Boston, MA-NH-RI",10,"1,873","4,181,019",Existing 2016,"$7,789,440","$5,774,655","$8,080,924","$7,731,787","$7,309,685","$10,241,382","$6,445,995","$6,444,147","$7,969,632","$14,938,699","$10,810,886","$9,331,449","$9,510,394","$18,417,119","$26,693,120","$21,389,655","$11,340,669","$14,167,634","$16,416,562","$13,713,457","$29,392,754","$24,308,290","$15,048,157","$16,461,700","$18,565,068","$22,622,005",,,,
2016,10014,1014,Worcester Regional Transit Authority(WRTA),Active,Full Reporter,Worcester,MA,2010,"Worcester, MA-CT",81,304,"486,514",Existing 2016,"$13,381,930","$14,283,568","$16,343,880","$14,988,893","$14,111,309","$22,490,657","$18,244,633","$26,656,393","$30,085,078","$20,918,729","$18,959,824","$25,459,911","$19,152,381","$19,257,480","$21,718,922","$20,242,749","$20,766,250","$22,384,305","$23,224,566","$27,295,086","$22,159,995","$30,068,245","$37,438,186","$41,248,199","$50,634,235","$76,745,044",,,,
2016,10015,1015,Lewiston-Auburn Transit Committee(LATC),Active,Reduced Reporter,Auburn,ME,2010,"Lewiston, ME",446,35,"59,397",Existing 2016,"$54,571","$90,202","$46,832",$0,$0,"$736,900",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,098,293","$1,273,158","$1,103,762","$2,531,124","$1,516,771","$1,551,321","$1,607,178","$1,897,444","$2,377,395",,,,
2016,10016,1016,Greater Portland Transit District(METRO),Active,Full Reporter,Portland,ME,2010,"Portland, ME",177,136,"203,914",Existing 2016,"$3,097,366","$3,090,686","$2,957,659","$3,572,053","$3,355,080","$3,469,210","$3,862,596","$3,748,023","$3,822,689","$4,956,815","$4,236,548","$4,490,613","$4,477,316","$4,717,489","$5,624,438","$7,172,208","$6,508,068","$6,105,369","$6,619,659","$6,287,185","$6,505,799","$9,496,184","$7,294,303","$8,662,208","$7,103,915","$9,126,621",,,,
2016,10017,1017,Greater Hartford Transit District(GHTD),Active,Full Reporter,Hartford,CT,2010,"Hartford, CT",47,516,"924,859",Existing 2016,"$10,800,393","$9,002,370","$8,955,249","$9,553,029","$17,261,713","$10,156,584","$8,619,746","$8,870,261","$11,742,778","$7,130,473","$8,086,441","$7,642,770","$10,240,342","$10,674,881","$14,447,701","$12,704,902","$18,031,510","$16,618,522","$16,055,855","$18,056,832","$13,671,203","$13,883,289","$21,157,184","$19,749,931","$24,944,756","$34,213,836",,,,
